casa	paraje	ID	funcion	eval	Tsn	Tsad	Tstot	Tin	Tiad	Titot
1	10M	10M1	casa	2	0	1	0	0	3	3
2	10M	10M2	ep	1	0	0	0	0	0	0
3	10M	10M3	casa	2	0	0	0	9	5	14
4	10M	10M4	casa	2	0	0	0	0	0	0
5	10M	10M5	casa	2	0	0	0	1	0	1
6	10M	10M6	deshabitada	2	0	0	0	1	0	1
7	10M	10M7	casa	2	0	0	0	0	0	0
8	10M	10M8	casa	2	1	0	1	0	0	0
9	10M	10M9	casa	2	0	0	0	0	0	0
10	10M	10M10	casa	2	0	0	0	0	0	0
11	10M	10M11	casa	2	0	0	0	4	4	8
12	10M	10M12	casa	4	0	0	0	0	0	0
13	10M	10M13	ep	1	0	0	0	0	0	0
14	10M	10M14	ep	1	0	0	0	0	0	0
15	10M	10M15	casa	2	0	0	0	0	0	0
16	10M	10M16	casa	2	0	0	0	0	0	0
17	10M	10M17	casa	2	1	0	1	28	2	30
18	10M	10M18	casa	2	0	0	0	0	0	0
19	10M	10M19	ep	1	0	0	0	0	0	0
20	10M	10M20	deshabitada	2	0	0	0	0	1	1
21	10M	10M21	casa	2	0	0	0	1	0	1
22	10M	10M22	casa	2	0	0	0	0	0	0
23	10M	10M23	casa	2	0	0	0	8	4	12
24	10M	10M24	casa	2	0	0	0	5	8	13
25	10M	10M25	casa	2	0	0	0	8	3	11
26	10M	10M26	casa	4	0	0	0	0	0	0
27	10M	10M27	casa	2	1	0	1	0	0	0
28	10M	10M28	casa	2	0	0	0	0	0	0
29	10M	10M29	ep	1	0	0	0	0	0	0
30	10M	10M30	casa	2	0	0	0	0	0	0
31	10M	10M31	deshabitada	1	0	0	0	0	0	0
32	10M	10M32	deshabitada	2	0	0	0	0	0	0
33	10M	10M33	casa	2	0	0	0	0	1	1
34	10M	10M34	casa	1	0	0	0	0	0	0
35	10M	10M35	casa	4	0	0	0	0	0	0
36	10M	10M36	casa	2	0	0	0	0	1	1
37	10M	10M37	deshabitada	1	0	0	0	0	0	0
38	10M	10M38	casa	2	13	3	13	2	4	6
39	10M	10M39	casa	2	0	0	0	4	2	4
40	10M	10M40	casa	2	0	0	0	29	15	44
41	10M	10M41	casa	2	0	1	0	45	29	45
1	3L	3L1	casa	2	0	0	0	0	0	0
2	3L	3L2	casa	2	0	0	0	0	0	0
3	3L	3L3	deshabitada	1	0	0	0	0	0	0
4	3L	3L4	casa	2	0	0	0	0	0	0
5	3L	3L5	deshabitada	2	0	0	0	15	14	29
6	3L	3L6	casa	4	1	2	1	1	17	18
7	3L	3L7	casa	2	0	0	0	0	0	0
8	3L	3L8	casa	4	0	0	0	0	0	0
9	3L	3L9	casa	4	20	8	20	0	2	2
10	3L	3L10	casa	2	0	0	0	0	0	0
11	3L	3L11	casa	4	0	0	0	0	0	0
12	3L	3L12	casa	2	1	2	1	0	0	0
13	3L	3L13	casa	2	0	0	0	3	2	5
14	3L	3L14	casa	2	0	0	0	0	0	0
15	3L	3L15	casa	2	0	0	0	4	9	13
16	3L	3L16	casa	2	0	0	0	2	6	8
17	3L	3L17	casa	2	0	0	0	0	0	0
18	3L	3L18	ep	1	0	0	0	0	0	0
19	3L	3L19	casa	2	0	0	0	0	1	0
20	3L	3L20	casa	2	0	0	0	23	7	30
21	3L	3L21	casa	2	0	0	0	0	0	0
22	3L	3L22	casa	2	0	0	0	0	0	0
23	3L	3L23	deshabitada	4	0	0	0	0	0	0
24	3L	3L24	casa	2	8	3	8	32	4	36
25	3L	3L25	casa	1	0	0	0	0	0	0
26	3L	3L26	casa	2	0	0	0	0	0	0
27	3L	3L27	casa	4	0	0	0	21	32	53
28	3L	3L28	casa	2	0	0	0	0	0	0
29	3L	3L29	casa	4	0	0	0	0	0	0
30	3L	3L30	deshabitada	1	0	0	0	0	0	0
31	3L	3L31	casa	1	0	0	0	0	0	0
32	3L	3L32	casa	2	0	0	0	0	0	0
33	3L	3L33	ep	1	0	0	0	0	0	0
34	3L	3L34	ep	1	0	0	0	0	0	0
1	BV	BV1	casa	2	0	0	0	0	0	0
2	BV	BV2	casa	4	0	0	0	1	1	2
3	BV	BV3	casa	4	0	0	0	0	0	0
4	BV	BV4	casa	4	0	0	0	8	4	12
5	BV	BV5	casa	4	0	0	0	0	0	0
6	BV	BV6	casa	2	0	0	0	2	1	3
7	BV	BV7	casa	2	0	0	0	0	0	0
8	BV	BV8	casa	4	0	0	0	0	0	0
9	BV	BV9	casa	2	0	0	0	0	0	0
10	BV	BV10	casa	4	13	5	13	10	10	20
11	BV	BV11	casa	4	0	0	0	9	1	10
12	BV	BV12	casa	2	22	1	22	0	0	0
13	BV	BV13	casa	1	0	0	0	0	0	0
14	BV	BV14	ep	1	0	0	0	0	0	0
1	CHU	CHU1	casa	4	0	0	0	2	2	4
2	CHU	CHU2	deshabitada	2	0	0	0	4	3	4
3	CHU	CHU3	casa	2	1	0	1	9	5	14
4	CHU	CHU4	deshabitada	2	0	0	0	2	3	5
5	CHU	CHU5	deshabitada	1	0	0	0	0	0	0
6	CHU	CHU6	deshabitada	2	0	0	0	0	0	0
7	CHU	CHU7	casa	2	0	0	0	0	0	0
8	CHU	CHU8	casa	2	0	1	0	1	1	2
9	CHU	CHU9	casa	4	0	0	0	1	0	1
10	CHU	CHU10	casa	4	0	0	0	0	0	0
11	CHU	CHU11	deshabitada	2	0	0	0	0	0	0
12	CHU	CHU12	deshabitada	4	0	0	0	0	0	0
13	CHU	CHU13	ep	4	0	0	0	0	0	0
14	CHU	CHU14	casa	4	0	0	0	0	0	0
15	CHU	CHU15	casa	2	0	0	0	0	0	0
16	CHU	CHU16	casa	2	1	0	1	15	13	15
17	CHU	CHU17	casa	2	0	0	0	0	1	1
18	CHU	CHU18	casa	1	0	0	0	0	0	0
19	CHU	CHU19	casa	2	0	0	0	4	1	5
20	CHU	CHU20	casa	2	0	0	0	0	1	1
21	CHU	CHU21	casa	1	0	0	0	0	0	0
22	CHU	CHU22	deshabitada	1	0	0	0	0	0	0
23	CHU	CHU23	casa	4	0	0	0	0	0	0
24	CHU	CHU24	casa	4	0	0	0	13	15	28
